,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Miami ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Shenise Johnson,37,10,23,.435,10,19,.526,0,4,.000,0,0,,5,8,13,1,1,0,3,2,20
1,Stefanie Yderstrom,30,1,9,.111,1,7,.143,0,2,.000,4,4,1.000,1,0,1,2,2,0,2,5,6
2,Sylvia Bullock,29,0,2,.000,0,2,.000,0,0,,1,2,.500,1,2,3,1,1,1,2,1,1
3,Krystal Saunders,28,1,7,.143,0,2,.000,1,5,.200,0,0,,0,1,1,1,0,0,0,2,3
4,Shawnice Wilson,22,5,11,.455,5,11,.455,0,0,,2,2,1.000,4,5,9,0,0,2,1,4,12
6,Suriya McGuire,17,2,6,.333,2,6,.333,0,0,,2,2,1.000,1,1,2,1,0,0,1,0,6
7,Maria Brown,14,0,2,.000,0,2,.000,0,0,,0,0,,0,4,4,0,1,1,0,0,0
8,Michelle Woods,13,1,3,.333,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,1,1,2
9,Shanel Williams,6,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,2
10,Jessica Capers,4,1,2,.500,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,1,2,2
11,School Totals,200,22,67,.328,21,55,.382,1,12,.083,9,10,.900,14,21,35,7,5,4,11,18,54
