,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Stanford ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Jericka Jenkins,39,.281,.281,.313,.000,0.0,5.4,1.8,25.8,4.6,0.0,11.1,24.1,63,114,
1,Alyssa Bennett,38,.399,.350,.000,.400,5.4,11.1,7.3,8.3,3.1,0.0,4.1,33.7,89,116,
2,Choicetta McMillian,27,.300,.300,.800,.000,7.6,0.0,5.1,24.0,4.4,0.0,0.0,9.7,95,115,
3,Ariel Phelps,21,.256,.000,.000,2.000,4.9,50.1,19.7,0.0,5.7,0.0,0.0,4.7,79,102,
4,Keiara Avant,11,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0,124,
6,Sherena Abercrumbia,21,.384,.333,.000,.333,9.8,20.1,13.1,0.0,5.7,5.0,8.8,28.2,82,105,
7,Nicole Hamilton,20,.559,.625,.125,.250,15.4,0.0,10.3,0.0,8.9,0.0,18.4,28.5,93,105,
8,Melanie Warner,19,.169,.000,1.000,1.000,0.0,22.2,7.3,0.0,0.0,0.0,0.0,7.9,42,121,
9,Delia Brunson,4,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,0,123,
10,School Totals,200,.359,.333,.190,.270,25.6,63.2,37.9,40.0,20.9,2.6,7.8,100.0,76.1,109.0,
