,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Green Bay ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Hallie Christofferson,38,.759,.667,.500,.667,4.8,6.6,5.8,7.6,1.5,3.8,11.4,12.2,149,106,
1,Lauren Mansfield,36,.791,.750,.833,.333,0.0,6.9,4.1,40.7,3.2,0.0,50.4,20.5,89,104,
2,Chassidy Cole,34,.606,.750,1.000,.500,10.7,18.4,15.3,14.9,1.7,0.0,62.1,10.1,64,105,
3,Chelsea Poppens,29,.553,.556,.000,.222,18.8,21.6,20.4,27.3,4.0,4.9,28.8,25.4,91,96,
4,Nikki Moody,24,.568,.400,.400,1.600,0.0,10.4,6.2,24.4,0.0,0.0,51.4,38.7,65,111,
6,Brynn Williamson,23,.629,.643,1.000,.286,7.9,16.3,12.9,14.8,0.0,0.0,33.7,27.4,83,110,
7,Anna Prins,11,.000,.000,1.000,.000,0.0,68.2,40.4,0.0,0.0,0.0,50.0,9.7,0,96,
8,Kelsey Harris,3,.000,.000,1.000,.000,0.0,41.7,24.7,0.0,0.0,0.0,0.0,17.7,0,103,
9,Amanda Zimmerman,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,114,
10,Fallon Ellis,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,114,
11,School Totals,200,.619,.581,.568,.514,31.8,81.3,61.1,76.5,8.7,7.1,39.5,100.0,82.6,102.9,
