,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Kansas ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Angel Goodrich,40,12,21,.571,9,15,.600,3,6,.500,0,2,.000,1,3,4,6,2,0,3,2,27
1,Natalie Knight,40,3,6,.500,1,1,1.000,2,5,.400,0,1,.000,0,0,0,5,2,0,1,1,8
2,Charlicia Cece Harper,35,3,9,.333,3,7,.429,0,2,.000,0,1,.000,1,5,6,3,0,0,1,3,6
3,Chelsea Gardner,28,4,9,.444,4,9,.444,0,0,,2,4,.500,3,4,7,0,0,2,1,3,10
4,Aishah Sutherland,24,5,11,.455,5,10,.500,0,1,.000,2,2,1.000,2,9,11,0,0,0,1,3,12
6,Catherine (Bunny) Williams,16,1,1,1.000,1,1,1.000,0,0,,0,2,.000,0,0,0,0,0,0,1,3,2
7,Tania Jackson,12,1,2,.500,0,0,,1,2,.500,0,0,,0,1,1,0,0,0,0,4,3
8,Asia Boyd,5,1,1,1.000,1,1,1.000,0,0,,0,0,,0,1,1,0,0,1,0,0,2
9,School Totals,200,30,60,.500,24,44,.545,6,16,.375,4,12,.333,7,23,30,14,4,3,8,19,70
