,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Glory Johnson,40,.650,.545,.000,.545,14.7,5.9,10.3,8.7,0.0,0.0,0.0,16.1,161,114,
1,Shekinna Stricklen,33,.476,.385,.308,.615,10.7,21.4,16.0,10.6,3.4,2.3,10.8,26.5,109,100,
2,Vicki Baugh,32,.391,.375,.000,.250,7.4,33.1,20.2,9.9,0.0,0.0,10.1,14.6,98,106,
3,Alicia Manning,8,.333,.333,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,23.7,54,117,
4,Briana Bass,4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,117,
6,Ariel Massengale,35,.674,.571,.429,.571,0.0,10.1,5.0,22.3,3.2,0.0,18.6,14.5,133,106,
7,Meighan Simmons,32,.580,.556,.444,.111,3.7,11.0,7.4,0.0,1.8,0.0,5.0,29.4,124,109,
8,Kamiko Williams,6,.678,.500,.000,1.000,0.0,19.6,9.8,89.6,0.0,0.0,0.0,22.7,175,109,
9,Taber Spani,5,.750,.750,1.000,.000,0.0,0.0,0.0,38.1,0.0,0.0,33.3,28.4,109,116,
10,Cierra Burdick,5,.000,.000,.000,.000,47.1,0.0,23.5,0.0,11.3,0.0,0.0,18.9,68,90,
11,School Totals,200,.543,.477,.273,.364,38.2,70.6,54.4,51.7,8.5,1.9,9.4,100.0,118.3,102.8,
