,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Brittany Mallory,26,.500,.500,.714,.000,5.1,14.9,10.1,33.7,2.3,0.0,0.0,13.2,139,67,
1,Kayla McBride,25,.559,.542,.083,.250,16.0,0.0,7.9,14.3,7.2,0.0,7.0,28.1,121,63,
2,Natalie Novosel,24,.430,.423,.231,.154,0.0,21.5,10.9,0.0,2.5,0.0,6.7,30.5,88,64,
3,Skylar Diggins,24,.583,.583,.167,.000,5.6,43.0,24.6,37.0,0.0,0.0,33.3,18.4,100,58,
4,Devereaux Peters,20,.772,.833,.000,.167,6.7,19.4,13.1,18.2,6.0,6.7,23.7,20.7,110,53,
6,Kaila Turner,23,.125,.125,.375,.000,5.8,5.6,5.7,23.0,2.6,0.0,0.0,17.1,70,71,
7,Fraderica Miller,19,.647,.667,.000,.333,14.0,6.8,10.4,0.0,0.0,0.0,22.5,23.0,100,75,
8,Natalie Achonwa,18,.808,.750,.000,.500,7.4,7.2,7.3,43.9,3.3,0.0,17.0,16.1,155,68,
9,Whitney Holloway,7,.500,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,107,79,
10,Ariel Braker,7,.500,.500,.000,.000,19.0,18.4,18.7,0.0,0.0,0.0,33.3,21.1,75,71,
11,Markisha Wright,7,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,81,
12,School Totals,200,.523,.515,.197,.152,36.7,71.0,54.1,78.1,13.4,3.3,13.5,100.0,110.4,64.2,
