,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Marist ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Corielle Yarde,39,8,13,.615,6,9,.667,2,4,.500,3,3,1.000,1,6,7,3,1,0,4,0,21
1,Brandy Gang,35,6,10,.600,3,5,.600,3,5,.600,3,4,.750,1,3,4,0,1,2,1,1,18
2,Leanne Ockenden,34,3,5,.600,2,2,1.000,1,3,.333,0,0,,1,2,3,1,0,0,1,3,7
3,Elizabeth Beynnon,32,3,4,.750,3,4,.750,0,0,,2,2,1.000,1,9,10,2,0,0,2,0,8
4,Casey Dulin,26,2,10,.200,2,9,.222,0,1,.000,7,10,.700,0,1,1,2,1,0,4,2,11
6,Natalie Gomez-Martinez,18,1,1,1.000,1,1,1.000,0,0,,2,2,1.000,0,2,2,0,1,0,3,1,4
7,Kristina Danella,13,1,3,.333,0,1,.000,1,2,.500,4,4,1.000,0,0,0,0,0,0,2,1,7
8,Emily Stallings,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
9,School Totals,200,24,46,.522,17,31,.548,7,15,.467,21,25,.840,4,23,27,8,4,2,17,9,76
