,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Kansas State ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Lauren Edwards,38,.503,.462,.462,.308,7.0,7.8,7.4,0.0,0.0,0.0,0.0,19.6,136,116,
1,Niveen Rasheed,37,.410,.386,.091,.227,14.4,20.0,17.1,37.4,1.7,0.0,19.9,41.2,93,108,
2,Lauren Polansky,35,.250,.250,.000,.000,11.4,8.5,10.0,4.6,1.8,0.0,33.3,8.6,64,112,
3,Devona Allgood,32,.716,.700,.000,.100,8.3,46.3,26.3,7.2,1.9,0.0,16.1,19.6,133,100,
4,Kate Miller,29,.375,.375,.500,.000,9.2,0.0,4.8,0.0,2.1,0.0,20.0,17.4,79,113,
6,Nicole Hung,13,.759,.667,.000,.667,0.0,0.0,0.0,0.0,0.0,0.0,20.5,18.9,132,118,
7,Megan Bowen,11,.000,.000,.000,.000,12.1,13.5,12.8,0.0,0.0,0.0,0.0,4.6,51,114,
8,Laura Johnson,4,,,,,0.0,0.0,0.0,0.0,15.6,0.0,,0.0,,82,
9,Mariah Smith,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,118,
10,School Totals,200,.480,.451,.197,.197,46.7,74.1,59.6,30.8,7.8,0.0,16.3,100.0,100.0,104.7,
