,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Metra Walthour,24,.571,.571,.429,.000,0.0,6.9,3.5,7.6,0.0,0.0,22.2,19.1,103,90,
1,Sasha Goodlett,22,.553,.500,.000,.750,55.3,30.3,42.6,0.0,0.0,0.0,15.8,29.3,122,82,
2,Tyaunna Marshall,21,.143,.143,.000,.000,0.0,0.0,0.0,15.2,2.8,5.8,0.0,17.0,69,82,
3,Dawnn Maye,20,.506,.333,.167,.667,0.0,8.3,4.3,34.8,11.7,0.0,34.0,30.0,95,60,
4,Tjasa Gortnar,18,.517,.000,.000,4.000,9.7,18.5,14.2,0.0,3.2,6.7,26.6,10.7,101,74,
6,Sydney Wallace,22,1.077,1.077,.615,.000,0.0,7.6,3.9,26.0,5.3,0.0,7.1,32.5,192,77,
7,Mo Bennett,20,.797,.800,.000,.800,0.0,25.0,12.8,21.1,5.8,0.0,42.5,30.0,96,70,
8,Chelsea Regins,20,.404,.500,.000,.500,8.7,33.3,21.3,16.0,0.0,0.0,0.0,6.2,136,81,
9,LaQuananisha Adams,11,,,,,0.0,15.2,7.7,0.0,0.0,0.0,,0.0,,87,
10,Danielle Hamilton-Carter,9,,,,,19.3,0.0,9.5,16.5,13.0,0.0,100.0,5.7,76,58,
11,Frida Fodgemark,7,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,17.3,50.0,14.6,0,84,
12,Sharena Taylor,4,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,200,92,
13,Sarah Hartwell,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,51.0,0,92,
14,School Totals,200,.633,.608,.235,.373,43.5,70.8,57.4,48.1,17.4,9.1,24.0,100.0,110.1,72.5,
