,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Notre Dame ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Natalie Novosel,25,7,13,.538,7,11,.636,0,2,.000,2,2,1.000,1,3,4,0,2,1,0,1,16
1,Skylar Diggins,25,3,8,.375,3,8,.375,0,0,,2,2,1.000,3,2,5,5,2,1,2,1,8
2,Kayla McBride,24,5,9,.556,5,9,.556,0,0,,0,0,,2,3,5,1,2,0,1,0,10
3,Brittany Mallory,23,3,6,.500,3,4,.750,0,2,.000,1,1,1.000,0,2,2,2,0,0,1,1,7
4,Devereaux Peters,19,3,8,.375,3,8,.375,0,0,,1,2,.500,3,7,10,4,4,2,5,2,7
6,Fraderica Miller,22,1,3,.333,1,3,.333,0,0,,1,2,.500,1,1,2,0,0,0,2,0,3
7,Kaila Turner,18,5,6,.833,1,1,1.000,4,5,.800,0,0,,0,1,1,2,1,0,0,4,14
8,Natalie Achonwa,15,3,5,.600,2,4,.500,1,1,1.000,2,2,1.000,0,5,5,2,0,1,1,1,9
9,Whitney Holloway,11,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,1,3,0
10,Ariel Braker,10,1,1,1.000,1,1,1.000,0,0,,0,0,,0,3,3,1,1,0,1,2,2
11,Markisha Wright,8,1,1,1.000,1,1,1.000,0,0,,1,2,.500,0,1,1,0,1,0,0,0,3
12,School Totals,200,32,61,.525,27,51,.529,5,10,.500,10,13,.769,10,29,39,18,13,5,14,15,79
