,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Shay Selby,37,.692,.692,.462,.000,9.4,8.8,9.0,37.2,6.2,0.0,13.3,21.3,136,69,
1,Chelsea Gray,33,.627,.500,.000,.625,5.3,9.8,8.1,20.1,13.9,0.0,28.2,22.6,107,52,
2,Tricia Liston,32,.754,.722,.222,.222,5.4,10.1,8.3,5.8,3.6,0.0,9.2,17.9,142,74,
3,Elizabeth Williams,28,.559,.500,.000,.250,0.0,19.3,11.9,18.4,0.0,3.1,31.1,24.2,87,75,
4,Haley Peters,25,.563,.563,.250,.000,7.0,25.9,18.7,7.1,2.3,3.5,11.1,18.9,109,67,
6,Ka'lia Johnson,16,.730,.500,.500,1.500,0.0,20.3,12.5,0.0,0.0,5.4,0.0,10.9,167,73,
7,Allison Vernerey,16,.339,.500,.000,1.000,10.9,6.8,8.3,0.0,0.0,10.9,0.0,18.9,77,78,
8,Kathleen Scheer,11,.000,.000,1.000,.000,0.0,19.7,12.1,12.5,0.0,0.0,60.0,23.9,13,77,
9,Jenna Frush,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,87,
10,School Totals,200,.601,.574,.241,.296,26.1,70.3,53.3,58.6,21.4,10.9,19.6,100.0,105.7,67.1,
