,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Maryland ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Laurin Mincy,37,7,8,.875,5,6,.833,2,2,1.000,5,5,1.000,2,10,12,2,2,3,5,4,21
1,Alyssa Thomas,32,10,21,.476,10,21,.476,0,0,,1,2,.500,1,8,9,5,2,0,5,3,21
2,Tianna Hawkins,26,4,7,.571,4,7,.571,0,0,,4,4,1.000,3,2,5,0,0,1,2,3,12
3,Alicia DeVaughn,22,0,1,.000,0,1,.000,0,0,,2,2,1.000,1,1,2,0,0,0,0,1,2
4,Anjale Barrett,12,0,2,.000,0,2,.000,0,0,,0,0,,0,0,0,1,1,0,2,1,0
6,Brene Moseley,28,3,8,.375,2,6,.333,1,2,.500,0,0,,0,4,4,6,2,0,2,1,7
7,Lynetta Kizer,23,5,11,.455,5,10,.500,0,1,.000,5,9,.556,6,0,6,0,1,0,1,0,15
8,Kim Rodgers,20,1,4,.250,0,1,.000,1,3,.333,0,0,,0,1,1,0,0,0,1,1,3
9,School Totals,200,30,62,.484,26,54,.481,4,8,.500,17,22,.773,13,26,39,14,8,4,18,14,81
