,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Duke ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Jasmine Lister,40,.615,.615,.385,.000,2.9,9.1,5.3,31.8,0.0,0.0,18.8,18.5,132,144,
1,Christina Foggie,37,.621,.625,.750,.100,6.2,14.7,9.5,11.2,3.1,0.0,22.3,33.6,111,136,
2,Elan Brown,36,.828,.800,.600,1.200,3.2,5.1,3.9,13.0,0.0,0.0,20.7,12.4,153,144,
3,Stephanie Holzer,31,.603,.556,.000,.222,25.8,17.6,22.6,5.7,1.8,2.4,23.3,19.2,118,136,
4,Tiffany Clarke,18,.286,.286,.000,.000,25.4,10.1,19.5,0.0,0.0,4.2,22.2,23.1,73,141,
6,Jordan Coleman,14,.345,.000,1.000,4.000,8.2,13.0,10.0,0.0,12.2,0.0,26.6,12.4,71,116,
7,Kady Schrann,9,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,146,
8,Clair Watkins,8,.365,.400,.000,.200,14.3,0.0,8.8,26.3,0.0,0.0,15.5,37.2,88,145,
9,Gabby Smith,7,.750,.750,1.000,.000,0.0,26.0,10.0,24.5,0.0,0.0,0.0,13.2,194,140,
10,School Totals,200,.579,.565,.419,.242,48.6,54.5,50.9,51.7,8.6,3.8,20.7,100.0,114.3,137.1,
