,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Duke ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Tricia Liston,38,10,15,.667,7,10,.700,3,5,.600,0,1,.000,1,3,4,1,0,0,2,0,23
1,Haley Peters,37,12,16,.750,11,15,.733,1,1,1.000,0,0,,0,6,6,2,2,0,3,3,25
2,Chelsea Gray,37,4,7,.571,2,4,.500,2,3,.667,2,2,1.000,2,3,5,12,3,1,4,2,12
3,Shay Selby,32,5,6,.833,5,5,1.000,0,1,.000,2,2,1.000,0,0,0,7,3,0,2,2,12
4,Elizabeth Williams,26,6,9,.667,6,9,.667,0,0,,1,2,.500,3,3,6,4,3,2,2,3,13
6,Allison Vernerey,11,2,7,.286,2,7,.286,0,0,,0,0,,3,1,4,1,0,2,0,4,4
7,Kathleen Scheer,10,1,1,1.000,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,2,2
8,Ka'lia Johnson,9,2,3,.667,1,2,.500,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,5
9,School Totals,200,42,64,.656,35,53,.660,7,11,.636,5,7,.714,10,18,28,28,11,5,13,16,96
