,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Albany ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Lindsey Lowrie,39,3,13,.231,0,1,.000,3,12,.250,2,2,1.000,0,2,2,2,0,0,2,3,11
1,Julie Forster,34,2,10,.200,2,10,.200,0,0,,2,2,1.000,5,8,13,0,0,0,6,4,6
2,Sarah Royals,32,1,4,.250,1,2,.500,0,2,.000,3,6,.500,2,3,5,3,1,0,7,2,5
3,Ebone Henry,27,3,15,.200,1,5,.200,2,10,.200,3,3,1.000,2,2,4,5,2,0,2,3,11
4,Keyana Williams,6,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0
6,Megan Craig,33,6,10,.600,6,10,.600,0,0,,0,0,,5,1,6,1,0,1,0,4,12
7,Shereesha Richards,23,2,6,.333,2,6,.333,0,0,,5,9,.556,5,3,8,0,2,0,4,3,9
8,Margarita Rosario,6,0,3,.000,0,1,.000,0,2,.000,0,0,,0,1,1,3,1,0,0,1,0
9,School Totals,200,17,61,.279,12,35,.343,5,26,.192,15,22,.682,19,20,39,14,7,1,21,21,54
