,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Aaryn Ellenberg,39,.715,.769,.538,.385,0.0,13.1,9.0,12.2,4.0,2.0,11.6,20.8,130,91,
1,Joanna McFarland,35,.759,.667,.444,.667,18.3,27.0,24.3,5.9,0.0,2.2,20.5,19.8,135,87,
2,Morgan Hook,34,.566,.500,.286,.286,0.0,4.3,2.9,38.4,0.0,0.0,47.0,20.7,83,110,
3,Nicole Griffin,30,.335,.250,.000,.250,0.0,7.3,5.0,0.0,0.0,5.2,18.4,17.1,63,105,
4,Sharane Campbell-Olds,28,.662,.500,.125,.875,17.1,10.4,12.5,7.4,3.7,2.8,26.5,25.4,113,95,
6,Nicole Kornet,18,.571,.571,.714,.000,8.9,12.1,11.1,0.0,0.0,0.0,12.5,21.0,106,102,
7,Jasmine Hartman,14,,,,,0.0,5.2,3.6,45.7,0.0,0.0,100.0,6.7,81,109,
8,Portia Durrett,2,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,47.2,0,115,
9,School Totals,200,.615,.557,.358,.415,32.0,60.0,51.3,60.0,6.4,9.8,25.7,100.0,100.0,93.6,
