,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Lindsey Moore,39,.599,.500,.250,.750,0.0,13.5,8.1,36.1,2.9,0.0,22.0,18.6,119,86,
1,Emily Cady,36,.438,.400,.100,.300,4.4,23.4,15.9,11.4,0.0,2.9,8.1,18.2,100,87,
2,Jordan Hooper,31,.660,.643,.429,.286,25.8,23.8,24.6,0.0,0.0,0.0,11.3,30.5,128,89,
3,Rachel Theriot,30,.755,.714,.429,.286,0.0,3.5,2.1,14.3,1.9,0.0,27.6,19.3,113,93,
4,Hailie Sample,18,.400,.400,.000,.000,0.0,23.4,14.1,11.4,3.2,0.0,44.4,26.6,49,82,
6,Tear'a Laudermill,19,.570,.583,.167,.667,0.0,11.1,6.7,0.0,3.0,0.0,20.5,27.4,91,87,
7,Brandi Jeffery,13,,,,,0.0,16.2,9.8,0.0,4.4,0.0,,0.0,,82,
8,Meghin Williams,10,1.053,,,,16.0,0.0,6.3,16.7,0.0,0.0,0.0,4.7,239,99,
9,Katie Simon,3,1.053,,,,0.0,35.1,21.2,0.0,0.0,0.0,0.0,15.6,250,85,
10,Sadie Murren,1,,,,,0.0,0.0,0.0,0.0,57.4,0.0,,0.0,,-41,
11,School Totals,200,.591,.550,.260,.460,28.0,78.9,58.7,54.2,10.0,2.6,19.8,100.0,102.9,84.3,
