,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Creighton ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Sarah Nelson,37,6,8,.750,4,4,1.000,2,4,.500,3,3,1.000,2,5,7,2,0,1,2,3,17
1,McKenzie Fujan,36,8,13,.615,2,3,.667,6,10,.600,2,2,1.000,3,2,5,1,3,0,3,2,24
2,Marissa Janning,32,2,12,.167,0,2,.000,2,10,.200,4,4,1.000,5,2,7,6,0,0,6,3,10
3,Ally Jensen,29,0,5,.000,0,0,,0,5,.000,0,0,,1,4,5,4,0,0,1,0,0
4,Alyssa Kamphaus,13,0,3,.000,0,3,.000,0,0,,1,2,.500,1,3,4,0,0,0,1,4,1
6,Carli Tritz,27,3,7,.429,2,3,.667,1,4,.250,0,0,,1,4,5,3,0,0,3,2,7
7,Jordan Garrison,12,0,2,.000,0,0,,0,2,.000,0,0,,1,1,2,0,1,0,0,2,0
8,Alexis Akin-Otiko,8,1,4,.250,1,4,.250,0,0,,0,0,,0,0,0,1,0,0,1,0,2
9,Sammy Jensen,6,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0
10,School Totals,200,20,55,.364,9,19,.474,11,36,.306,10,11,.909,14,21,35,17,4,1,17,17,61
