,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Tennessee ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Ariel Massengale,36,3,7,.429,1,4,.250,2,3,.667,3,4,.750,0,0,0,2,3,0,3,0,11
1,Taber Spani,30,3,7,.429,1,4,.250,2,3,.667,2,2,1.000,0,3,3,0,1,0,2,0,10
2,Meighan Simmons,29,3,6,.500,1,3,.333,2,3,.667,2,2,1.000,0,3,3,4,1,2,2,2,10
3,Kamiko Williams,25,6,9,.667,6,9,.667,0,0,,3,4,.750,1,3,4,2,4,0,2,2,15
4,Bashaara Graves,25,2,3,.667,2,3,.667,0,0,,0,0,,1,2,3,2,0,0,0,1,4
6,Cierra Burdick,18,1,3,.333,1,2,.500,0,1,.000,2,3,.667,2,2,4,2,2,0,3,2,4
7,Isabelle Harrison,17,2,5,.400,2,5,.400,0,0,,4,4,1.000,3,2,5,0,0,3,1,3,8
8,Jasmine Jones,17,3,7,.429,3,7,.429,0,0,,0,0,,1,2,3,1,2,0,0,1,6
9,Nia Moore,2,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0
10,Jasmine Phillips,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,School Totals,200,23,47,.489,17,37,.459,6,10,.600,16,19,.842,8,18,26,13,13,5,14,11,68
