,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Toni Young,39,.661,.706,.000,.235,12.1,17.8,15.5,6.1,1.4,7.2,21.0,28.4,110,77,
1,Tiffany Bias,39,.502,.455,.182,.182,0.0,7.9,4.8,8.6,4.1,0.0,14.4,16.6,105,83,
2,Liz Donohoe,37,.504,.417,.500,.333,9.5,8.3,8.8,26.3,5.7,5.0,17.9,21.1,116,78,
3,Kendra Suttles,36,.460,.409,.364,.182,19.6,15.0,16.8,9.0,1.5,2.6,25.2,20.5,95,81,
4,Brittney Martin,35,.415,.375,.000,.750,0.0,13.2,8.0,4.5,4.5,2.7,8.6,15.5,96,76,
6,Kamri Anderson,8,.000,.000,.000,.000,0.0,0.0,0.0,17.2,13.2,0.0,0.0,5.8,63,70,
7,LaShawn Jones,5,.333,.333,.000,.000,47.1,15.4,27.9,0.0,0.0,0.0,0.0,27.9,108,85,
8,Morgan Toben,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,102,
9,School Totals,200,.510,.484,.190,.286,44.1,59.6,53.5,44.8,18.4,16.3,17.3,100.0,96.1,73.7,
