,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Delaware ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Elena Delle Donne,39,11,23,.478,11,19,.579,0,4,.000,11,11,1.000,1,8,9,2,0,0,5,1,33
1,Danielle Parker,37,3,9,.333,3,9,.333,0,0,,0,0,,2,6,8,1,2,0,2,4,6
2,Lauren Carra,30,3,5,.600,2,4,.500,1,1,1.000,3,4,.750,4,6,10,1,2,0,4,5,10
3,Kayla Miller,19,0,1,.000,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0
4,Akeema Richards,12,0,0,,0,0,,0,0,,0,0,,1,0,1,0,0,0,2,2,0
6,Trumae Lucas,35,3,9,.333,3,8,.375,0,1,.000,5,5,1.000,1,0,1,3,0,0,5,5,11
7,Jaquetta May,18,1,6,.167,1,6,.167,0,0,,0,0,,5,2,7,0,0,1,0,2,2
8,Kelsey Buchanan,7,0,0,,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,1,0
9,Stephanie Leon,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,School Totals,200,21,53,.396,20,47,.426,1,6,.167,19,20,.950,16,22,38,7,4,1,18,21,62
