,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,California ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Layshia Clarendon,38,6,14,.429,5,11,.455,1,3,.333,6,6,1.000,0,5,5,3,2,0,2,2,19
1,Brittany Boyd,37,8,12,.667,6,8,.750,2,4,.500,3,9,.333,0,13,13,9,2,2,2,2,21
2,Talia Caldwell,28,5,5,1.000,5,5,1.000,0,0,,4,6,.667,4,3,7,0,1,1,2,3,14
3,Gennifer Brandon,27,8,16,.500,8,16,.500,0,0,,1,1,1.000,4,8,12,0,1,2,1,2,17
4,Afure Jemerigbe,24,2,9,.222,1,6,.167,1,3,.333,2,2,1.000,2,1,3,5,2,1,3,1,7
6,Reshanda Gray,25,6,10,.600,6,10,.600,0,0,,0,0,,3,3,6,0,0,0,1,2,12
7,Eliza Pierre,21,0,1,.000,0,0,,0,1,.000,0,0,,1,2,3,6,0,0,2,1,0
8,School Totals,200,35,67,.522,31,56,.554,4,11,.364,16,24,.667,14,35,49,23,8,6,13,13,90
