,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Green Bay ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Megan Lukan,37,2,4,.500,1,2,.500,1,2,.500,0,0,,1,1,2,8,0,0,5,4,5
1,Sarah Eichler,35,8,13,.615,4,7,.571,4,6,.667,2,2,1.000,0,4,4,3,2,0,5,3,22
2,Lydia Bauer,35,4,10,.400,1,2,.500,3,8,.375,0,0,,1,3,4,2,0,0,1,3,11
3,Adrian Ritchie,34,5,10,.500,4,5,.800,1,5,.200,5,7,.714,0,3,3,4,3,1,2,5,16
4,Stephanie Sension,20,0,2,.000,0,0,,0,2,.000,0,0,,0,0,0,0,1,0,1,0,0
6,Jenny Gilbertson,23,6,10,.600,3,5,.600,3,5,.600,0,0,,1,5,6,1,0,0,0,5,15
7,Breannah Ranger,16,1,4,.250,1,4,.250,0,0,,0,0,,4,3,7,1,1,0,1,2,2
8,Sam Zastrow,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,School Totals,200,26,53,.491,14,25,.560,12,28,.429,7,9,.778,7,19,26,19,7,1,15,22,71
