,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Georgia ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jasmine James,36,3,11,.273,1,6,.167,2,5,.400,1,2,.500,0,8,8,5,1,0,0,1,9
1,Jasmine Hassell,35,3,12,.250,3,12,.250,0,0,,1,2,.500,3,1,4,0,0,1,0,4,7
2,Shacobia Barbee,32,7,14,.500,4,7,.571,3,7,.429,3,4,.750,2,3,5,2,2,0,2,1,20
3,Anne Marie Armstrong,28,5,13,.385,2,5,.400,3,8,.375,0,0,,0,5,5,2,1,1,0,4,13
4,Tiaria Griffin,23,2,6,.333,0,1,.000,2,5,.400,2,2,1.000,1,2,3,3,0,0,1,0,8
6,Khaalidah Miller,19,0,3,.000,0,0,,0,3,.000,0,0,,0,1,1,3,1,0,1,0,0
7,Krista Donald,8,1,1,1.000,0,0,,1,1,1.000,0,0,,0,1,1,0,0,0,1,1,3
8,Erika Ford,6,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2
9,Tamika Willis,5,0,0,,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,1,0
10,Marjorie Butler,4,1,1,1.000,0,0,,1,1,1.000,0,0,,0,0,0,0,1,0,0,0,3
11,Merritt Hempe,4,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,0,0
12,School Totals,200,23,63,.365,11,33,.333,12,30,.400,7,10,.700,7,22,29,17,6,2,5,12,65
