,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Arielle Roberson,36,.347,.231,.077,.462,9.7,29.6,17.5,8.8,4.4,4.7,11.3,22.0,80,85,
1,Chucky Jeffery,35,.212,.125,.063,.375,5.0,11.4,7.5,41.7,3.0,0.0,13.9,27.8,56,96,
2,Jen Reese,25,.189,.143,.000,.286,10.4,16.0,12.6,0.0,2.1,0.0,11.3,16.0,50,97,
3,Lexy Kresl,22,.334,.357,.429,.143,4.0,6.1,4.8,14.7,7.2,0.0,21.2,19.3,62,88,
4,Brittany Wilson,20,.692,.714,.571,.286,0.0,6.7,2.6,25.0,2.7,0.0,27.6,24.4,96,98,
6,Jamee Swan,23,.513,.000,.000,2.000,3.8,29.0,13.7,0.0,2.3,14.8,34.7,11.3,81,82,
7,Jasmine Sborov,15,.408,.333,.000,1.333,17.4,17.8,17.5,0.0,0.0,0.0,0.0,14.3,107,101,
8,Kyleesha Weston,11,.400,.400,.200,.000,7.9,0.0,4.8,0.0,4.8,0.0,16.7,24.5,72,94,
9,Ashley Wilson,11,.500,.500,.000,.000,0.0,0.0,0.0,0.0,4.8,0.0,33.3,12.3,64,94,
10,Meagan Malcolm-Peck,2,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0,105,
11,School Totals,200,.347,.278,.175,.397,32.6,76.7,50.0,50.0,17.3,12.8,16.7,100.0,69.3,89.3,
