,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Kayla McBride,32,.436,.385,.154,.308,4.2,20.3,13.1,16.3,1.7,0.0,0.0,21.3,130,92,
1,Skylar Diggins,30,.677,.684,.316,.105,8.9,3.6,6.0,53.7,5.6,0.0,4.8,32.2,159,91,
2,Jewell Loyd,28,.838,.813,.125,.250,9.5,7.7,8.5,15.1,0.0,0.0,18.4,18.0,148,102,
3,Natalie Achonwa,26,.659,.636,.000,.364,20.5,24.9,23.0,5.9,2.1,8.1,13.6,26.3,132,84,
4,Ariel Braker,23,.750,.750,.000,.000,5.8,28.2,18.2,10.9,2.4,9.2,33.3,12.1,109,81,
6,Markisha Wright,22,.606,.500,.000,.500,6.1,19.7,13.6,10.9,5.1,3.2,17.0,12.4,132,83,
7,Kaila Turner,16,.000,.000,1.000,.000,0.0,6.8,3.7,6.8,0.0,0.0,0.0,5.8,49,102,
8,Madison Cable,8,1.022,1.250,.500,1.500,0.0,0.0,0.0,37.0,0.0,8.8,0.0,19.2,209,99,
9,Hannah Huffman,6,.250,.250,.000,.000,88.9,0.0,39.8,0.0,0.0,0.0,0.0,30.8,118,105,
10,Michaela Mabrey,5,.000,.000,.500,.000,0.0,0.0,0.0,21.6,0.0,0.0,50.0,37.0,18,105,
11,Whitney Holloway,4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,105,
12,School Totals,200,.603,.580,.188,.246,50.0,70.3,61.2,67.6,11.1,14.0,11.5,100.0,129.2,87.5,
