,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Kelly Faris,31,.876,.750,.000,1.500,14.3,13.9,14.1,5.1,3.2,2.8,37.6,16.3,123,69,
1,Breanna Stewart,30,.623,.571,.071,.429,4.9,10.8,8.3,14.5,0.0,8.7,15.3,31.1,116,73,
2,Stefanie Dolson,24,.250,.250,.000,.000,12.3,40.5,28.6,24.4,0.0,0.0,0.0,7.9,115,69,
3,Kaleena Mosqueda-Lewis,22,.684,.682,.545,.273,0.0,9.8,5.7,0.0,0.0,4.0,14.0,31.0,118,77,
4,Caroline Doty,13,1.500,1.500,1.000,.000,0.0,8.3,4.8,0.0,0.0,0.0,75.0,14.6,51,80,
6,Bria Hartley,30,.420,.300,.200,.400,0.0,14.4,8.3,10.7,6.6,0.0,7.8,20.2,96,64,
7,Moriah Jefferson,26,.714,.714,.000,.000,0.0,8.3,4.8,7.2,7.6,3.3,30.0,18.3,98,61,
8,Morgan Tuck,16,.612,.333,.333,1.333,0.0,20.3,11.7,18.9,3.1,5.4,17.4,17.1,124,65,
9,Kiah Stokes,6,1.000,1.000,.000,.000,24.7,36.0,31.3,0.0,0.0,43.5,50.0,15.9,104,42,
10,Heather Buck,2,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0,83,
11,School Totals,200,.620,.554,.196,.411,25.9,81.1,57.8,41.4,13.6,21.7,21.2,100.0,102.5,65.4,
