,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Maggie Lucas,40,.378,.250,.500,.400,0.0,9.7,4.5,8.0,2.9,0.0,20.3,17.6,82,107,
1,Alex Bentley,34,.538,.538,.308,.000,3.4,11.4,7.1,17.7,3.4,0.0,13.3,21.1,114,105,
2,Mia Nickson,32,.167,.167,.000,.000,7.1,4.0,5.7,0.0,1.8,0.0,0.0,9.0,63,111,
3,Dara Taylor,29,.333,.333,.333,.000,3.9,4.4,4.2,36.2,4.0,0.0,25.0,19.8,81,106,
4,Nikki Greene,27,.620,.545,.000,.364,29.6,43.0,35.9,0.0,4.3,3.0,23.9,29.7,110,91,
6,Talia East,17,.452,.667,.000,1.000,26.9,30.4,28.5,10.6,3.4,0.0,18.8,15.0,96,99,
7,Ariel Edwards,15,.594,.600,.000,.200,0.0,0.0,0.0,0.0,0.0,0.0,8.4,37.8,114,115,
8,Gizelle Studevent,3,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,200,116,
9,Tori Waldner,3,,,,,0.0,43.0,20.2,0.0,0.0,0.0,100.0,15.9,0,101,
10,School Totals,200,.477,.452,.190,.206,42.9,71.0,56.1,44.4,14.3,2.0,17.8,100.0,94.3,101.4,
