,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Baylor ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Antonita Slaughter,40,1.050,1.050,.900,.000,3.6,13.5,9.2,0.0,0.0,0.0,28.6,17.1,137,111,
1,Bria Smith,32,.730,.714,.000,.571,4.5,20.3,13.5,18.1,0.0,0.0,36.3,21.0,107,107,
2,Shoni Schimmel,30,.635,.607,.571,.500,0.0,3.6,2.1,14.0,5.2,0.0,22.6,35.9,105,104,
3,Sara Hammond,20,.700,.700,.200,.000,7.1,16.2,12.3,0.0,2.6,4.2,0.0,12.2,147,101,
4,Sheronne Vails,16,.750,.750,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,150,117,
6,Jude Schimmel,28,.333,.333,.222,.000,5.1,15.4,11.0,17.8,0.0,0.0,40.0,26.1,59,110,
7,Cortnee Walton,17,.000,.000,.500,.000,8.4,19.1,14.5,8.7,6.1,0.0,0.0,5.7,71,94,
8,Monique Reid,13,.558,.333,.333,1.667,0.0,0.0,0.0,12.9,0.0,0.0,0.0,19.5,136,118,
9,Megan Deines,4,.667,.667,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.6,124,118,
10,Shelby Harper,0,,,,,,,,,,,,,,,
11,School Totals,200,.655,.636,.455,.291,17.9,59.5,41.5,37.0,7.8,2.1,24.2,100.0,106.5,105.2,
