,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Louisville ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Shoni Schimmel,39,4,13,.308,3,5,.600,1,8,.125,1,2,.500,0,4,4,6,1,2,1,0,10
1,Antonita Slaughter,38,6,11,.545,0,1,.000,6,10,.600,0,0,,0,1,1,1,0,0,1,2,18
2,Bria Smith,33,6,7,.857,6,7,.857,0,0,,5,6,.833,2,4,6,2,3,0,8,1,17
3,Sara Hammond,24,3,5,.600,3,5,.600,0,0,,3,3,1.000,1,2,3,1,1,0,1,4,9
4,Sheronne Vails,11,0,0,,0,0,,0,0,,1,2,.500,1,3,4,0,0,1,0,2,1
6,Jude Schimmel,23,2,6,.333,1,3,.333,1,3,.333,4,4,1.000,2,2,4,1,1,0,3,1,9
7,Monique Reid,18,0,3,.000,0,3,.000,0,0,,0,2,.000,0,1,1,1,1,1,0,2,0
8,Cortnee Walton,10,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0
9,Megan Deines,4,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,1,0,0,0,0
10,Shelby Harper,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,School Totals,200,21,47,.447,13,26,.500,8,21,.381,14,19,.737,6,19,25,12,8,4,14,13,64
