,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Kaleena Mosqueda-Lewis,35,.721,.708,.667,.083,7.4,22.2,15.4,8.1,0.0,2.9,13.9,18.5,136,85,
1,Kelly Faris,33,.727,.727,.636,.000,3.9,26.9,16.3,26.2,3.1,3.1,21.4,19.0,132,77,
2,Breanna Stewart,30,.662,.700,.200,.333,12.9,22.2,17.9,17.4,5.1,10.3,5.5,27.2,141,68,
3,Stefanie Dolson,26,.674,.571,.143,.571,14.9,12.8,13.8,26.7,3.9,7.9,18.6,18.6,144,75,
4,Caroline Doty,13,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,7.9,0.0,0.0,3.5,0,75,
6,Bria Hartley,24,.726,.688,.250,.250,0.0,9.3,5.0,25.0,6.4,0.0,25.3,22.2,122,76,
7,Morgan Tuck,18,.375,.375,.375,.000,21.5,24.7,23.2,0.0,0.0,0.0,33.3,29.9,64,87,
8,Moriah Jefferson,14,.508,.500,.500,1.000,0.0,0.0,0.0,26.7,0.0,0.0,41.0,15.6,92,93,
9,Kiah Stokes,4,,,,,0.0,27.8,14.9,0.0,0.0,0.0,,0.0,,86,
10,Heather Buck,3,.500,.500,.000,.000,0.0,0.0,0.0,61.5,17.1,0.0,0.0,29.9,137,54,
11,School Totals,200,.640,.629,.394,.212,38.7,86.1,64.2,68.6,16.7,17.9,19.0,100.0,119.2,76.9,
