,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Tennessee ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Shoni Schimmel,40,.708,.688,.625,.125,3.1,3.0,3.1,14.3,1.3,0.0,22.9,24.2,118,108,
1,Antonita Slaughter,32,.389,.389,.667,.000,7.8,15.2,11.5,9.5,1.6,0.0,25.0,16.6,80,102,
2,Sara Hammond,27,.500,.500,.182,.000,0.0,22.4,11.4,0.0,1.9,3.6,15.4,21.3,91,97,
3,Bria Smith,23,.488,.400,.000,.700,10.9,36.9,24.1,30.2,0.0,0.0,13.3,29.1,112,97,
4,Sheronne Vails,15,.667,.667,.000,.000,25.0,0.0,12.3,0.0,3.3,6.5,40.0,14.8,97,102,
6,Monique Reid,33,.764,.600,.000,1.200,7.6,3.7,5.6,0.0,0.0,0.0,0.0,10.3,180,110,
7,Jude Schimmel,30,.505,.417,.417,.500,4.2,12.1,8.2,16.2,3.3,0.0,6.4,23.1,122,100,
8,School Totals,200,.566,.515,.348,.318,34.4,63.6,49.2,40.0,7.5,4.9,16.5,100.0,107.5,97.5,
