,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Connecticut ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Breanna Stewart,34,7,15,.467,6,12,.500,1,3,.333,2,2,1.000,4,4,8,1,3,4,1,2,17
1,Kaleena Mosqueda-Lewis,34,8,21,.381,7,14,.500,1,7,.143,0,0,,3,4,7,3,3,1,1,1,17
2,Kelly Faris,33,3,8,.375,1,5,.200,2,3,.667,0,0,,1,4,5,3,0,0,0,3,8
3,Stefanie Dolson,26,3,5,.600,2,3,.667,1,2,.500,2,2,1.000,0,10,10,1,2,2,2,0,9
4,Caroline Doty,4,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0
6,Moriah Jefferson,26,5,8,.625,5,7,.714,0,1,.000,0,1,.000,0,1,1,3,2,0,0,0,10
7,Bria Hartley,21,1,4,.250,0,0,,1,4,.250,2,2,1.000,1,2,3,2,0,0,3,1,5
8,Morgan Tuck,16,4,5,.800,4,5,.800,0,0,,0,0,,0,1,1,1,0,0,0,1,8
9,Kiah Stokes,4,1,1,1.000,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,2
10,Heather Buck,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,School Totals,200,32,67,.478,26,47,.553,6,20,.300,6,7,.857,10,27,37,14,10,7,8,8,76
