,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Jasmine James,31,.460,.409,.273,.182,4.3,9.9,7.5,22.6,2.0,0.0,0.0,19.8,129,82,
1,Anne Marie Armstrong,27,.588,.500,.200,.400,9.9,15.2,12.9,11.8,0.0,14.5,25.4,15.1,112,78,
2,Jasmine Hassell,26,.578,.545,.000,.545,10.3,7.9,8.9,0.0,2.3,7.5,12.8,31.1,113,81,
3,Tiaria Griffin,26,.252,.214,.714,.286,5.1,7.9,6.7,17.4,4.7,0.0,0.0,15.7,93,77,
4,Shacobia Barbee,25,.722,.722,.222,.000,5.3,24.6,16.2,17.4,4.8,0.0,30.8,26.9,101,62,
6,Erika Ford,16,.667,.667,.000,.000,8.3,6.4,7.2,13.9,0.0,0.0,0.0,19.4,151,90,
7,Krista Donald,13,.500,.500,.000,.000,30.8,0.0,13.4,0.0,0.0,15.0,0.0,8.0,148,92,
8,Khaalidah Miller,12,.000,.000,1.000,.000,0.0,8.5,4.8,23.8,0.0,0.0,0.0,12.9,48,88,
9,Tamika Willis,9,1.000,1.000,.000,.000,14.8,34.2,25.8,0.0,6.7,0.0,33.3,17.3,117,50,
10,Marjorie Butler,9,.333,.333,.667,.000,0.0,0.0,0.0,18.9,0.0,0.0,40.0,28.8,52,94,
11,Merritt Hempe,5,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,0,93,
12,Danielle Bennett,1,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.8,300,96,
13,School Totals,200,.525,.500,.279,.197,40.0,56.4,49.3,53.6,10.6,19.5,14.2,100.0,106.1,75.8,
