,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Tricia Liston,37,.570,.500,.385,.308,2.8,18.9,10.9,0.0,3.1,0.0,11.9,23.5,106,67,
1,Elizabeth Williams,36,.333,.333,.000,.000,14.2,11.1,12.7,7.2,1.6,18.5,0.0,21.7,85,61,
2,Alexis Jones,35,.541,.542,.417,.167,5.9,20.0,13.0,48.5,0.0,2.7,35.2,29.5,80,71,
3,Haley Peters,31,.623,.600,.000,.600,3.3,16.1,9.8,0.0,0.0,6.1,0.0,10.6,135,71,
4,Richa Jackson,21,.182,.182,.182,.000,0.0,19.0,9.6,11.1,5.5,0.0,0.0,27.2,45,62,
6,Chloe Wells,24,.000,.000,.500,.000,0.0,8.3,4.2,15.9,0.0,0.0,0.0,13.0,17,78,
7,Allison Vernerey,12,.000,.000,.000,.000,0.0,25.0,12.7,0.0,9.6,0.0,0.0,4.3,0,50,
8,Ka'lia Johnson,4,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0,82,
9,School Totals,200,.388,.359,.250,.141,23.1,80.0,51.9,47.6,10.0,23.8,11.6,100.0,75.7,64.3,
