,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Duke ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Tricia Liston,36,4,15,.267,2,7,.286,2,8,.250,3,3,1.000,3,2,5,1,4,0,0,1,13
1,Alexis Jones,35,2,6,.333,2,4,.500,0,2,.000,5,6,.833,1,2,3,7,0,0,3,3,9
2,Elizabeth Williams,34,6,15,.400,6,15,.400,0,0,,4,6,.667,3,9,12,0,1,3,7,1,16
3,Haley Peters,34,7,13,.538,6,10,.600,1,3,.333,0,0,,5,8,13,0,4,0,1,2,15
4,Richa Jackson,21,0,4,.000,0,3,.000,0,1,.000,1,2,.500,2,0,2,2,1,0,1,2,1
6,Chloe Wells,25,5,12,.417,3,5,.600,2,7,.286,1,1,1.000,0,0,0,2,1,0,1,2,13
7,Allison Vernerey,12,0,0,,0,0,,0,0,,0,0,,1,1,2,1,0,1,0,0,0
8,Ka'lia Johnson,3,0,0,,0,0,,0,0,,1,2,.500,0,0,0,0,1,0,0,0,1
9,School Totals,200,24,65,.369,19,44,.432,5,21,.238,15,20,.750,15,22,37,13,12,4,13,11,68
