,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Baylor ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Brittney Griner,32,12,17,.706,12,17,.706,0,0,,9,12,.750,4,6,10,3,1,6,2,1,33
1,Odyssey Sims,29,4,8,.500,3,4,.750,1,4,.250,3,4,.750,0,0,0,10,5,0,0,1,12
2,Jordan Madden,24,1,2,.500,1,1,1.000,0,1,.000,0,0,,1,4,5,2,0,0,3,0,2
3,Kimetria Hayden,19,2,4,.500,2,3,.667,0,1,.000,2,3,.667,0,1,1,0,0,0,1,0,6
4,Brooklyn Pope,16,4,6,.667,4,6,.667,0,0,,1,2,.500,1,4,5,3,3,1,1,1,9
6,Destiny Williams,21,4,6,.667,4,6,.667,0,0,,1,2,.500,3,7,10,1,0,0,2,0,9
7,Alexis Prince,19,2,3,.667,1,2,.500,1,1,1.000,1,2,.500,1,1,2,0,1,2,0,0,6
8,Makenzie Robertson,14,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2
9,Niya Johnson,12,0,2,.000,0,2,.000,0,0,,0,0,,0,3,3,2,0,0,2,0,0
10,Sune Agbuke,4,0,0,,0,0,,0,0,,2,2,1.000,0,0,0,1,0,1,0,0,2
11,Kristina Higgins,4,0,1,.000,0,1,.000,0,0,,0,0,,0,3,3,1,0,0,0,0,0
12,Mariah Chandler,3,0,1,.000,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1
13,Chardonae Fuqua',3,0,1,.000,0,1,.000,0,0,,0,0,,2,0,2,0,0,0,0,0,0
14,School Totals,200,30,53,.566,28,45,.622,2,8,.250,20,29,.690,12,30,42,23,10,10,11,3,82
