,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Samantha MacKay,50,.438,.438,.375,.000,5.6,16.7,11.1,18.2,3.3,0.0,23.8,20.9,89,100,
1,Andrea Hoover,47,.927,.917,.333,.167,11.8,8.9,10.3,10.8,1.2,0.0,18.9,16.8,156,106,
2,Ally Malott,30,.563,.563,.250,.000,4.6,18.5,11.6,5.2,1.8,5.4,20.0,16.6,100,97,
3,Cassie Sant,20,.250,.250,.125,.000,6.9,0.0,3.5,14.7,2.8,0.0,0.0,19.9,81,104,
4,Amber Deane,19,.500,.500,.000,.000,0.0,0.0,0.0,25.4,0.0,0.0,25.0,21.0,94,110,
6,Kelley Austria,38,.683,.654,.385,.385,0.0,0.0,0.0,9.2,2.9,0.0,16.5,23.9,122,104,
7,Olivia Applewhite,30,.452,.458,.167,.417,13.9,60.2,37.0,0.0,0.0,2.7,0.0,23.6,110,96,
8,Brittany Wilson,13,.833,.833,.667,.000,0.0,32.1,16.0,0.0,0.0,0.0,0.0,11.5,171,104,
9,Jodie Cornelie-Sigmundova,3,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,33.2,0,110,
10,School Totals,250,.567,.557,.278,.152,30.6,80.6,55.6,43.6,8.8,4.8,15.9,100.0,105.5,98.9,
