,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Arizona State ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Sophie Brunner,30,1,6,.167,1,6,.167,0,0,,5,6,.833,6,4,10,0,0,1,0,3,7
1,Deja Mann,26,5,9,.556,3,4,.750,2,5,.400,4,4,1.000,0,2,2,2,4,0,3,2,16
2,Kelsey Moos,25,2,6,.333,2,6,.333,0,0,,0,0,,0,4,4,0,1,0,1,2,4
3,Promise Amukamara,22,2,6,.333,2,6,.333,0,0,,0,0,,3,2,5,1,2,0,2,5,4
4,Elisha Davis,22,0,8,.000,0,4,.000,0,4,.000,2,2,1.000,0,0,0,2,0,0,2,1,2
6,Adrianne Thomas,18,3,6,.500,3,5,.600,0,1,.000,8,8,1.000,0,0,0,0,2,0,4,3,14
7,Katie Hempen,17,1,4,.250,1,3,.333,0,1,.000,2,4,.500,0,2,2,0,0,0,3,3,4
8,Arnecia Hawkins,14,4,7,.571,3,4,.750,1,3,.333,0,1,.000,2,1,3,0,0,0,0,2,9
9,Eliza Normen,11,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,3,1,0
10,Joy Burke,9,3,3,1.000,3,3,1.000,0,0,,1,1,1.000,2,0,2,0,0,0,1,5,7
11,Quinn Dornstauder,6,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
12,School Totals,200,21,56,.375,18,42,.429,3,14,.214,22,26,.846,13,17,30,5,9,1,19,27,67
