,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Notre Dame ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Odyssey Sims,40,.572,.519,.308,.231,4.5,8.1,6.2,50.0,1.3,0.0,23.9,39.2,99,118,
1,Makenzie Robertson,34,.600,.600,1.000,.000,2.7,6.4,4.4,16.3,0.0,0.0,16.7,7.4,122,121,
2,Niya Johnson,30,.288,.167,.000,.333,3.0,7.2,4.9,11.8,1.7,0.0,30.4,13.7,58,117,
3,Sune Agbuke,27,.396,.222,.000,.556,10.1,36.0,21.9,7.0,0.0,0.0,8.2,18.8,100,107,
4,Nina Davis,23,.270,.250,.000,.167,11.9,28.2,19.3,0.0,2.2,6.3,18.9,28.8,57,103,
6,Khadijiah Cave,22,.265,.250,.000,.375,16.5,4.9,11.2,0.0,0.0,0.0,0.0,17.7,79,122,
7,Imani Wright,12,.500,.500,1.000,.000,7.6,0.0,4.1,16.1,0.0,6.1,0.0,10.4,133,121,
8,Ieshia Small,6,.500,.500,.500,.000,15.2,0.0,8.2,0.0,0.0,0.0,0.0,13.9,122,124,
9,Kristina Higgins,4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,124,
10,Chardonae Fuqua',1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,124,
11,Mariah Chandler,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,125,
12,School Totals,200,.434,.380,.239,.254,36.4,62.2,48.1,54.2,3.8,5.5,17.6,100.0,86.3,110.0,
