,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Baylor ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Odyssey Sims,40,12,26,.462,9,18,.500,3,8,.375,6,6,1.000,2,3,5,6,1,0,9,4,33
1,Makenzie Robertson,34,2,5,.400,0,0,,2,5,.400,0,0,,1,2,3,3,0,0,1,4,6
2,Niya Johnson,30,1,6,.167,1,6,.167,0,0,,2,2,1.000,1,2,3,2,1,0,3,4,4
3,Sune Agbuke,27,2,9,.222,2,9,.222,0,0,,5,5,1.000,3,9,12,1,0,0,1,3,9
4,Nina Davis,23,3,12,.250,3,12,.250,0,0,,1,2,.500,3,6,9,0,1,2,3,5,7
6,Khadijiah Cave,22,2,8,.250,2,8,.250,0,0,,1,3,.333,4,1,5,0,0,0,0,3,5
7,Imani Wright,12,1,3,.333,0,0,,1,3,.333,0,0,,1,0,1,1,0,1,0,0,3
8,Ieshia Small,6,1,2,.500,1,1,1.000,0,1,.000,0,0,,1,0,1,0,0,0,0,2,2
9,Kristina Higgins,4,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
10,Chardonae Fuqua',1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
11,Mariah Chandler,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
12,School Totals,200,24,71,.338,18,54,.333,6,17,.353,15,18,.833,16,23,39,13,3,3,17,27,69
