,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Moriah Jefferson,39,.692,.643,.286,.286,2.3,8.5,5.1,4.7,4.5,0.0,0.0,9.5,163,80,
1,Kaleena Mosqueda-Lewis,36,.517,.469,.250,.313,20.2,15.4,18.1,24.4,1.6,0.0,9.9,26.4,123,83,
2,Breanna Stewart,36,.374,.316,.316,.263,10.1,9.3,9.7,5.7,4.9,12.0,0.0,27.7,105,72,
3,Stefanie Dolson,36,.411,.400,.000,.200,7.6,30.9,18.1,10.3,3.3,12.0,26.9,19.4,77,65,
4,Bria Hartley,34,.419,.409,.636,.636,0.0,13.1,5.9,27.6,3.5,0.0,12.4,22.2,96,80,
6,Kiah Stokes,15,.508,.500,.000,1.000,18.2,14.8,16.7,0.0,0.0,14.4,0.0,9.0,138,78,
7,Brianna Banks,2,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,47.0,0,94,
8,Saniya Chong,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,94,
9,Tierney Lawlor,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,94,
10,School Totals,200,.455,.417,.288,.348,43.2,75.0,57.5,50.0,16.2,27.0,10.5,100.0,102.9,75.0,
