,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Tricia Liston,39,.394,.385,.231,.154,6.0,13.9,10.1,9.4,1.4,0.0,30.2,23.3,68,110,
1,Elizabeth Williams,37,.377,.357,.000,.286,15.9,14.6,15.2,10.0,3.0,28.0,16.0,23.2,87,95,
2,Haley Peters,37,.580,.611,.222,.111,3.2,14.6,9.1,10.0,1.5,0.0,0.0,11.7,139,109,
3,Ka'lia Johnson,32,.556,.563,.125,.500,7.4,10.1,8.8,11.4,3.5,0.0,38.1,22.6,79,106,
4,Richa Jackson,27,.443,.500,.000,.667,4.4,16.0,10.4,6.6,6.2,0.0,34.0,19.9,66,97,
6,Oderah Chidom,17,.840,.800,.000,.400,6.9,6.4,6.6,13.4,0.0,8.7,14.5,18.5,152,114,
7,Kendall Cooper,10,.380,.333,.000,.667,23.5,21.6,22.5,17.4,0.0,0.0,0.0,17.8,116,108,
8,Amber Henson,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,45.8,0,116,
9,School Totals,200,.485,.483,.103,.328,41.2,67.6,54.9,40.7,12.5,29.6,23.9,100.0,90.3,102.8,
