,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Texas A&M ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Courtney Walker,35,9,12,.750,9,11,.818,0,1,.000,7,9,.778,0,3,3,2,2,0,3,3,25
1,Tori Scott,30,5,12,.417,5,11,.455,0,1,.000,0,0,,0,3,3,2,1,0,1,2,10
2,Jordan Jones,29,4,9,.444,4,9,.444,0,0,,3,5,.600,1,3,4,6,5,0,6,3,11
3,Courtney Williams,28,6,11,.545,6,11,.545,0,0,,3,5,.600,2,5,7,1,0,1,1,3,15
4,Karla Gilbert,18,3,3,1.000,3,3,1.000,0,0,,5,6,.833,1,4,5,0,1,0,0,4,11
6,Achiri Ade,21,1,1,1.000,1,1,1.000,0,0,,0,1,.000,2,5,7,1,0,0,3,5,2
7,Chelsea Jennings,14,3,3,1.000,3,3,1.000,0,0,,0,0,,0,1,1,0,0,0,1,0,6
8,Curtyce Knox,12,2,2,1.000,2,2,1.000,0,0,,0,1,.000,0,1,1,0,1,0,2,1,4
9,Tavarsha Scott-Williams,7,0,1,.000,0,1,.000,0,0,,0,0,,2,4,6,1,0,0,0,0,0
10,Rachel Mitchell,4,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,2,0,0,0
11,Kristen Grant,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
12,Jada Terry,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
13,School Totals,200,33,55,.600,33,53,.623,0,2,.000,18,27,.667,8,29,37,13,10,3,17,21,84
