,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Florida ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kayla Lewis,37,4,7,.571,4,7,.571,0,0,,3,5,.600,3,8,11,2,3,1,3,2,11
1,Jaterra Bonds,34,7,11,.636,7,10,.700,0,1,.000,1,3,.333,1,3,4,2,1,0,3,3,15
2,Cassie Peoples,30,6,10,.600,5,7,.714,1,3,.333,8,8,1.000,0,4,4,6,0,0,5,1,21
3,Carlie Needles,27,4,8,.500,1,1,1.000,3,7,.429,0,0,,1,2,3,0,1,0,1,2,11
4,Ronni Williams,23,6,13,.462,6,13,.462,0,0,,3,3,1.000,4,2,6,2,3,0,3,4,15
6,January Miller,21,3,8,.375,2,6,.333,1,2,.500,1,2,.500,3,2,5,0,2,0,2,1,8
7,Lily Svete,17,0,4,.000,0,0,,0,4,.000,0,0,,1,3,4,1,0,0,0,1,0
8,Antoinette Bannister,11,0,3,.000,0,0,,0,3,.000,2,2,1.000,0,1,1,1,0,0,0,1,2
9,School Totals,200,30,64,.469,25,44,.568,5,20,.250,18,23,.783,13,25,38,14,10,1,17,15,83
