,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Andrea Hoover,40,.690,.667,.533,.133,0.0,12.5,6.5,11.1,5.2,0.0,23.9,26.0,102,105,
1,Amber Deane,35,.541,.500,.250,.167,7.6,0.0,3.7,17.9,4.4,0.0,18.9,22.6,100,112,
2,Celeste Edwards,32,.469,.469,.313,.000,4.2,7.8,6.0,29.0,1.6,0.0,15.8,29.6,89,115,
3,Ally Malott,25,.678,.583,.500,1.000,0.0,15.0,7.7,15.1,2.1,10.9,10.4,19.2,133,107,
4,Cassie Sant,15,.508,.500,.000,1.000,8.9,25.0,17.2,0.0,0.0,6.1,25.8,12.9,88,109,
6,Saicha Grant-Allen,22,.333,.333,.000,.000,6.1,5.7,5.9,0.0,0.0,0.0,0.0,6.8,85,120,
7,Tiffany Johnson,13,.256,.000,1.000,2.000,0.0,0.0,0.0,23.7,0.0,0.0,34.7,11.1,66,121,
8,Andrijana Cvitkovic,13,.000,.000,.000,.000,0.0,38.5,19.9,0.0,0.0,0.0,60.0,19.2,0,107,
9,Jodie Cornelie-Sigmundova,5,,,,,0.0,50.0,25.8,0.0,0.0,18.2,,0.0,,94,
10,School Totals,200,.542,.509,.351,.246,16.7,59.4,38.7,50.0,11.7,11.4,21.1,100.0,89.6,107.8,
