,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Penn State ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Kayla Lewis,33,.696,.667,.000,.417,4.0,33.4,18.5,0.0,1.7,3.0,6.6,24.7,133,112,
1,Jaterra Bonds,33,.615,.667,.000,.556,4.0,8.4,6.2,7.7,5.2,0.0,21.1,23.1,99,117,
2,Carlie Needles,33,.521,.500,.917,.083,4.0,0.0,2.1,13.4,1.7,0.0,7.4,21.8,107,129,
3,Cassie Peoples,30,.225,.143,.714,.571,0.0,0.0,0.0,18.5,1.9,0.0,36.3,24.6,43,128,
4,Ronni Williams,24,.000,.000,.000,.000,5.6,23.0,14.1,21.7,2.4,4.1,57.1,15.6,32,115,
6,Lily Svete,17,.000,.000,1.000,.000,7.8,8.1,8.0,10.2,0.0,0.0,50.0,6.3,50,129,
7,January Miller,16,.833,.833,.667,.000,8.3,8.6,8.5,0.0,0.0,0.0,25.0,13.4,119,129,
8,Antoinette Bannister,14,.833,.833,.667,.000,0.0,0.0,0.0,16.5,4.1,0.0,40.0,19.1,95,123,
9,School Totals,200,.534,.520,.420,.300,20.0,55.2,37.3,47.8,11.4,4.9,24.0,100.0,87.1,118.6,
