,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Nebraska ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Emily Cady,39,6,15,.400,5,12,.417,1,3,.333,2,3,.667,5,6,11,2,0,2,2,3,15
1,Rachel Theriot,39,4,13,.308,4,10,.400,0,3,.000,2,2,1.000,0,3,3,12,2,0,2,0,10
2,Hailie Sample,39,2,5,.400,2,5,.400,0,0,,2,2,1.000,3,4,7,1,1,1,2,1,6
3,Jordan Hooper,38,9,15,.600,6,12,.500,3,3,1.000,2,2,1.000,3,8,11,0,1,0,4,2,23
4,Tear'a Laudermill,32,4,19,.211,1,9,.111,3,10,.300,2,2,1.000,0,3,3,1,1,0,0,3,13
6,Brandi Jeffery,8,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,1,2,0,1,2,0
7,Allie Havers,2,0,0,,0,0,,0,0,,1,2,.500,0,2,2,0,0,0,0,1,1
8,Sadie Murren,1,0,0,,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2
9,Esther Ramacieri,1,0,0,,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2
10,Hannah Tvrdy,1,0,0,,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2
11,School Totals,200,25,68,.368,18,49,.367,7,19,.368,17,19,.895,11,27,38,17,7,3,11,12,74
