,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Louisiana State ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Kaela Davis,39,.475,.357,.500,.429,0.0,2.9,1.3,4.0,0.0,1.7,15.3,20.7,90,124,
1,Sydney Wallace,36,.455,.455,.591,.000,0.0,6.3,2.9,5.6,1.3,0.0,4.3,26.2,94,121,
2,Tyaunna Marshall,33,.490,.474,.053,.158,8.7,13.9,11.0,19.0,5.5,2.0,12.9,29.0,98,107,
3,Roddreka Rogers,15,.333,.333,.000,.000,19.0,7.6,13.9,21.6,0.0,0.0,0.0,16.4,102,123,
4,Shayla Bivins,6,,,,,15.9,0.0,8.7,0.0,0.0,11.1,,0.0,213,122,
6,Nariah Taylor,22,.701,.600,.000,1.200,0.0,26.0,11.8,7.4,0.0,6.1,20.7,18.0,120,112,
7,Aaliyah Whiteside,22,.360,.333,.167,.333,4.3,10.4,7.1,6.9,4.1,0.0,12.7,14.7,78,112,
8,Dawnn Maye,20,.500,.500,.000,.000,0.0,11.4,5.2,0.0,11.3,0.0,50.0,8.2,47,96,
9,Gabrielle Holston,4,.000,.000,.000,.000,23.8,0.0,13.0,33.3,22.6,0.0,66.7,30.8,30,76,
10,Katarina Vuckovic,2,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,0,126,
11,Frida Fodgemark,1,,,,,95.2,0.0,51.9,0.0,0.0,0.0,,0.0,213,126,
12,School Totals,200,.464,.421,.289,.224,23.8,48.6,35.1,33.3,15.7,8.3,14.3,100.0,87.6,110.1,
