,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Louisiana State ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Danielle Ballard,35,7,17,.412,7,16,.438,0,1,.000,10,12,.833,7,10,17,4,2,0,7,3,24
1,Theresa Plaisance,34,8,17,.471,8,16,.500,0,1,.000,5,6,.833,3,8,11,0,1,0,1,3,21
2,Shanece McKinney,32,5,5,1.000,5,5,1.000,0,0,,4,6,.667,4,2,6,0,1,6,2,1,14
3,Jeanne Kenney,31,5,13,.385,4,8,.500,1,5,.200,0,0,,0,7,7,6,0,0,4,2,11
4,Raigyne Louis,8,3,5,.600,3,5,.600,0,0,,0,0,,1,2,3,1,0,0,1,2,6
6,DaShawn Harden,28,5,8,.625,2,5,.400,3,3,1.000,4,4,1.000,2,2,4,1,1,0,5,3,17
7,Sheila Boykin,11,1,2,.500,1,2,.500,0,0,,0,0,,0,0,0,1,1,1,1,2,2
8,Rina Hill,10,1,3,.333,1,3,.333,0,0,,1,2,.500,0,0,0,1,0,0,2,1,3
9,Anne Pedersen,9,0,0,,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,1,0
10,Jasmine Rhodes,2,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
11,School Totals,200,35,70,.500,31,60,.517,4,10,.400,24,30,.800,18,32,50,14,6,7,23,18,98
