,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Louisville ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Connie Ballestero,40,.265,.313,.375,.375,0.0,12.0,5.1,33.3,0.0,0.0,30.0,18.9,51,135,
1,Ali Forde,35,.703,.778,.000,.556,10.1,22.9,15.5,0.0,0.0,4.2,26.3,24.7,101,129,
2,Stacey Barr,33,.252,.143,.571,.286,0.0,14.5,6.2,15.4,1.8,0.0,38.8,22.2,38,131,
3,Alyssa Charlston,32,.550,.550,.200,.000,0.0,5.0,2.1,11.6,0.0,2.3,23.1,23.1,81,136,
4,Christina Salvatore,31,.375,.375,.750,.000,0.0,5.2,2.2,0.0,1.9,2.4,11.1,16.5,65,132,
6,Maren Austgulen,13,.000,.000,.000,.000,9.0,12.3,10.4,0.0,9.0,0.0,33.3,13.1,15,116,
7,Addie Schivo,9,.000,.000,.667,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,0,138,
8,Agueda Trujillo,7,.000,.000,1.000,.000,0.0,22.9,9.7,0.0,0.0,0.0,0.0,8.1,0,133,
9,School Totals,200,.398,.396,.375,.208,11.8,60.0,32.2,47.1,5.8,7.4,25.4,100.0,60.9,127.5,
