,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Texas A&M ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Precious Hall,36,.352,.278,.389,.222,0.0,6.9,3.2,6.0,4.4,0.0,9.2,28.7,74,114,
1,Jazmon Gwathmey,36,.668,.650,.100,.100,3.0,10.4,6.4,12.8,0.0,4.4,0.0,13.8,145,119,
2,Kirby Burkholder,35,.547,.393,.429,.643,9.3,25.0,16.6,6.3,3.0,2.3,10.0,27.1,115,110,
3,Nikki Newman,27,.000,.000,.500,.000,4.0,9.3,6.4,30.9,0.0,3.0,33.3,5.3,68,120,
4,Toia Giggetts,20,.447,.417,.083,.250,5.4,18.8,11.6,14.3,0.0,4.0,7.0,34.0,94,116,
6,Angela Mickens,26,.510,.333,.000,1.333,4.2,9.6,6.7,13.7,2.0,0.0,38.7,14.2,78,118,
7,Da'Lishia Griffin,10,.000,.000,.000,.000,21.6,25.0,23.2,0.0,0.0,8.0,0.0,14.2,40,112,
8,Lauren Okafor,8,.667,.667,.000,.000,13.5,15.6,14.5,0.0,0.0,0.0,0.0,17.8,140,117,
9,Crystal Ross,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,47.5,0,118,
10,Amani Tatum,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,125,
11,School Totals,200,.460,.385,.246,.323,27.0,68.8,46.4,50.0,7.9,12.0,11.8,100.0,90.8,111.8,
