,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Baylor ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Makenzie Robertson,38,3,7,.429,0,1,.000,3,6,.500,0,0,,2,3,5,1,1,0,0,3,9
1,Odyssey Sims,37,11,23,.478,10,19,.526,1,4,.250,2,3,.667,0,3,3,7,3,0,1,3,25
2,Nina Davis,30,6,13,.462,6,13,.462,0,0,,8,10,.800,3,5,8,1,0,0,1,2,20
3,Niya Johnson,26,3,6,.500,3,6,.500,0,0,,5,6,.833,0,3,3,11,0,0,1,3,11
4,Sune Agbuke,14,1,3,.333,1,3,.333,0,0,,0,0,,1,6,7,2,1,2,1,3,2
6,Khadijiah Cave,25,7,11,.636,7,11,.636,0,0,,4,4,1.000,6,3,9,0,0,2,0,2,18
7,Imani Wright,11,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0
8,Kristina Higgins,9,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,1,0
9,Ieshia Small,8,0,2,.000,0,2,.000,0,0,,3,4,.750,0,2,2,0,1,0,3,0,3
10,Chardonae Fuqua',1,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2
11,Mariah Chandler,1,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
12,School Totals,200,32,67,.478,28,57,.491,4,10,.400,22,27,.815,12,28,40,23,6,4,8,17,90
