,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Christal Caldwell,35,.229,.184,.474,.316,7.6,0.0,4.0,7.3,3.0,0.0,12.2,31.3,56,113,
1,Bria Holmes,30,.502,.500,.545,.182,3.0,3.3,3.1,32.4,5.3,2.3,29.6,25.0,78,105,
2,Asya Bussie,26,.694,.500,.000,1.875,20.5,7.7,14.5,12.0,0.0,5.2,6.4,26.6,155,113,
3,Averee Fields,24,.223,.125,.000,.250,14.8,20.8,17.6,0.0,4.4,2.8,0.0,16.4,76,93,
4,Linda Stepney,14,1.500,1.500,1.000,.000,0.0,7.1,3.4,0.0,0.0,0.0,0.0,6.3,300,114,
6,Brooke Hampton,25,.202,.000,.500,.500,0.0,4.0,1.9,42.1,6.3,0.0,17.0,10.4,73,103,
7,Crystal Leary,18,.412,.000,.000,3.000,4.9,22.2,13.1,0.0,2.9,0.0,30.1,8.2,76,96,
8,Taylor Palmer,15,.377,.357,.429,.286,0.0,6.7,3.1,39.0,0.0,0.0,11.3,26.3,84,115,
9,Jessica Harlee,10,.667,.667,.000,.000,8.9,10.0,9.4,0.0,0.0,6.8,25.0,17.8,95,110,
10,Lanay Montgomery,3,,,,,0.0,66.7,31.4,0.0,0.0,0.0,,0.0,,68,
11,School Totals,200,.428,.341,.349,.508,35.6,45.0,40.0,63.2,14.5,8.5,14.3,100.0,88.2,100.0,
