,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Samantha Logic,36,.692,.786,.286,.286,0.0,29.4,17.2,42.0,0.0,0.0,33.7,16.6,124,91,
1,Theairra Taylor,34,.921,.955,.727,.182,0.0,24.2,14.2,10.4,4.8,0.0,14.4,20.5,152,81,
2,Bethany Doolitte,31,.639,.600,.000,.200,10.8,22.8,17.8,6.3,0.0,4.6,19.7,32.9,111,89,
3,Ally Disterhoft,31,.503,.444,.667,.222,5.4,11.4,8.9,4.6,0.0,0.0,23.3,20.9,92,94,
4,Melissa Dixon,23,.803,.786,.857,.143,0.0,0.0,0.0,13.9,0.0,0.0,11.8,18.4,151,96,
6,Claire Till,16,.750,.750,.500,.000,20.8,7.4,12.9,8.5,0.0,0.0,0.0,6.3,189,94,
7,Kali Peschel,13,.744,.667,.000,1.667,38.5,27.1,31.8,0.0,0.0,0.0,27.8,27.8,127,91,
8,Alexa Kastanek,9,.000,.000,1.000,.000,0.0,0.0,0.0,27.8,0.0,0.0,50.0,11.2,67,95,
9,Kathryn Reynolds,3,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,0,96,
10,Nicole Smith,2,,,,,0.0,58.8,34.5,0.0,0.0,0.0,,0.0,,84,
11,Hailey Schneden,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,93,
12,School Totals,200,.689,.679,.446,.268,33.3,88.2,65.5,59.4,4.1,3.6,21.2,100.0,119.2,89.0,
