,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Maryland ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Lexie Brown,38,3,10,.300,2,5,.400,1,5,.200,4,6,.667,0,3,3,8,1,0,2,4,11
1,Alyssa Thomas,33,5,13,.385,4,12,.333,1,1,1.000,3,4,.750,0,6,6,2,1,1,4,4,14
2,Alicia DeVaughn,28,1,1,1.000,1,1,1.000,0,0,,5,6,.833,1,4,5,0,2,1,3,4,7
3,Brionna Jones,26,7,10,.700,7,10,.700,0,0,,2,4,.500,1,2,3,2,0,1,2,3,16
4,Katie Rutan,12,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,2,0,0,1,3,0
6,Laurin Mincy,30,5,10,.500,4,6,.667,1,4,.250,0,0,,0,1,1,1,4,0,0,1,11
7,Shatori Walker-Kimbrough,13,0,4,.000,0,4,.000,0,0,,0,0,,1,0,1,0,2,0,0,1,0
8,Tierney Pfirman,8,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,1,1,0,0,1,0
9,Malina Howard,7,0,1,.000,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,1,0
10,Brene Moseley,2,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,Sequoia Austin,1,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2
12,Essence Townsend,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
13,Chloe Pavlech,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
14,School Totals,200,22,54,.407,19,42,.452,3,12,.250,14,20,.700,4,16,20,16,11,3,13,22,61
