,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Maryland ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Alyssa Thomas,38,14,25,.560,13,21,.619,1,4,.250,4,4,1.000,4,9,13,3,1,0,0,2,33
1,Alicia DeVaughn,32,0,3,.000,0,3,.000,0,0,,1,2,.500,5,5,10,0,1,0,2,4,1
2,Lexie Brown,31,4,11,.364,2,6,.333,2,5,.400,4,6,.667,1,1,2,1,5,0,6,4,14
3,Brionna Jones,16,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,1,2,0,3,5,2
4,Katie Rutan,9,0,3,.000,0,1,.000,0,2,.000,0,0,,1,0,1,0,0,0,0,0,0
6,Laurin Mincy,24,4,14,.286,2,8,.250,2,6,.333,1,2,.500,3,2,5,1,1,0,4,3,11
7,Malina Howard,20,0,2,.000,0,2,.000,0,0,,2,2,1.000,3,2,5,1,0,0,0,4,2
8,Shatori Walker-Kimbrough,19,4,8,.500,4,7,.571,0,1,.000,2,3,.667,0,3,3,2,3,0,1,3,10
9,Tierney Pfirman,6,0,2,.000,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,Brene Moseley,5,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,School Totals,200,27,70,.386,22,52,.423,5,18,.278,14,19,.737,17,22,39,9,13,0,16,25,73
