,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Megan Rogowski,35,.670,.625,.625,.250,4.4,21.1,14.3,12.8,1.4,5.7,10.1,23.9,138,121,
1,Chanise Jenkins,33,.730,.667,.333,.417,0.0,12.8,7.6,17.6,2.9,0.0,17.4,22.1,135,123,
2,Megan Podkowa,31,.726,.688,.250,.250,9.9,13.6,12.1,4.4,0.0,9.7,18.4,14.9,131,127,
3,Brittany Hrynko,26,.710,.727,.545,.455,0.0,4.0,2.4,28.7,0.0,0.0,23.3,28.0,122,135,
4,Jasmine Penny,22,.484,.444,.000,.556,14.0,19.1,17.0,25.3,0.0,0.0,21.1,27.3,104,127,
6,Jessica January,29,.675,.625,.000,.625,10.6,0.0,4.3,9.5,4.9,0.0,8.9,16.4,145,125,
7,Centrese McGee,8,.500,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,15.9,65,138,
8,Brandi Harvey-Carr,8,,,,,38.5,0.0,15.6,13.9,6.0,0.0,,0.0,227,122,
9,Kelsey Reynolds,8,.000,.000,1.000,.000,0.0,13.2,7.8,0.0,6.0,0.0,0.0,5.3,0,115,
10,School Totals,200,.655,.619,.343,.388,34.6,55.3,46.9,55.6,9.5,12.5,16.8,100.0,123.8,119.0,
