,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Notre Dame ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Tiffany Bias,39,.501,.469,.313,.125,4.8,6.0,5.3,51.7,2.6,0.0,19.2,24.0,105,118,
1,Brittney Martin,33,.200,.200,.000,.000,5.6,21.4,12.6,14.3,1.6,0.0,11.8,23.1,55,116,
2,LaShawn Jones,26,.517,.533,.000,.067,10.7,13.6,12.0,0.0,0.0,7.8,6.1,28.3,105,116,
3,Roshunda Johnson,24,.625,.625,.500,.000,3.9,9.8,6.5,0.0,2.1,0.0,0.0,7.5,137,118,
4,Liz Donohoe,21,.386,.333,.167,.167,0.0,11.2,4.9,0.0,0.0,9.7,13.4,15.9,74,116,
6,Brittany Atkins,27,.569,.500,.400,.300,3.4,17.4,9.6,0.0,1.9,0.0,0.0,18.8,129,116,
7,Kendra Suttles,16,.744,.667,.333,1.667,11.6,0.0,6.5,0.0,6.4,0.0,36.6,23.0,101,112,
8,Katelyn Loecker,12,.500,.500,.500,.000,15.5,29.4,21.6,13.0,0.0,0.0,50.0,14.9,72,115,
9,Kamri Anderson,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,126,
10,Lakota Beatty,0,,,,,,,,,,,,,,,
11,School Totals,200,.469,.437,.197,.169,30.2,64.7,45.5,51.7,9.0,10.2,14.5,100.0,92.3,114.1,
