,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Stanford ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Nicole Seekamp,35,.763,.731,.154,.231,0.0,14.7,8.0,8.3,3.5,0.0,12.3,25.6,131,119,
1,Tia Hemiller,32,.571,.571,.429,.000,7.8,19.2,14.1,18.5,5.7,0.0,30.0,17.2,93,111,
2,Raeshel Contreras,29,.183,.100,.400,.200,0.0,10.6,5.8,24.4,0.0,0.0,8.4,22.5,58,130,
3,Lisa Loeffler,26,.375,.375,.375,.000,9.6,3.9,6.5,7.9,0.0,3.7,0.0,16.9,94,132,
4,Polly Harrington,19,.750,.750,.167,.000,0.0,21.6,11.9,40.5,0.0,0.0,33.3,26.0,101,122,
6,Kelly Stewart,21,.678,.750,1.000,1.000,0.0,4.9,2.7,0.0,0.0,0.0,14.8,17.7,111,133,
7,Margaret McCloud,18,.333,.333,.000,.000,13.9,5.7,9.4,20.4,0.0,5.3,25.0,12.2,90,130,
8,Bridget Arens,13,.380,.333,.000,.667,9.6,15.8,13.0,0.0,0.0,0.0,20.5,20.6,73,126,
9,Jaylah Jackson,4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,136,
10,Taylor Moore,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,136,
11,Madeleine White,1,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,0,136,
12,School Totals,200,.515,.491,.327,.200,21.9,59.0,42.3,58.3,7.6,4.8,17.8,100.0,93.9,122.7,
