,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Tennessee-Martin ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Heather Butler,40,5,16,.313,2,6,.333,3,10,.300,6,6,1.000,0,3,3,3,0,0,2,2,19
1,Jasmine Newsome,40,2,11,.182,1,6,.167,1,5,.200,3,5,.600,0,4,4,4,2,0,3,2,8
2,Katie Schubert,40,3,7,.429,1,3,.333,2,4,.500,0,0,,1,5,6,4,0,0,3,3,8
3,Ashia Jones,37,7,10,.700,7,10,.700,0,0,,4,8,.500,1,7,8,0,2,1,1,4,18
4,Shai Warfield-Cross,9,0,1,.000,0,0,,0,1,.000,0,0,,1,2,3,1,0,0,1,0,0
6,Elizabeth Masengil,31,1,1,1.000,0,0,,1,1,1.000,2,2,1.000,0,3,3,0,0,0,0,2,5
7,Tiara Caldwell,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,3,0
8,Karisma Tyson,1,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
9,School Totals,200,18,47,.383,11,25,.440,7,22,.318,15,21,.714,3,24,27,12,4,1,10,16,58
