,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Baylor ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Kendall Noble,40,.623,.571,.286,.429,10.0,17.2,13.6,33.3,4.3,0.0,10.7,26.0,129,120,
1,Micah Jones,40,.295,.313,.625,.125,0.0,3.4,1.7,23.1,1.4,0.0,26.2,16.0,68,131,
2,Chastity Gooch,39,.660,.656,.125,.188,0.0,31.8,15.6,11.6,0.0,0.0,10.4,27.6,113,124,
3,Bianca McGee,32,.602,.571,.571,.143,0.0,0.0,0.0,18.3,1.8,0.0,0.0,25.9,121,131,
4,Jalynn McClain,22,.500,.500,.000,.000,6.1,6.3,6.2,14.9,0.0,0.0,0.0,10.1,124,133,
6,Bria Gaines,12,1.017,1.000,.000,1.000,0.0,11.5,5.6,0.0,0.0,7.9,0.0,6.7,221,125,
7,Chaney Means,9,.000,.000,.000,.000,0.0,15.3,7.5,15.9,0.0,0.0,0.0,6.2,54,129,
8,Chanell Lockhart,5,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,0,136,
9,Ruta Savickaite,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,129,
10,School Totals,200,.568,.542,.339,.220,13.3,62.1,37.3,75.0,7.1,2.4,9.7,100.0,105.7,124.3,
