,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Brigham Young ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Morgan Bailey,36,7,14,.500,7,12,.583,0,2,.000,1,1,1.000,4,6,10,0,1,0,1,4,15
1,Lexi Rydalch,30,6,13,.462,6,13,.462,0,0,,2,5,.400,1,5,6,2,1,0,11,4,14
2,Makenzi Pulsipher,29,3,8,.375,2,5,.400,1,3,.333,2,2,1.000,0,1,1,2,1,1,4,2,9
3,Kylie Maeda,28,0,4,.000,0,1,.000,0,3,.000,0,0,,1,1,2,1,0,1,6,2,0
4,Xojian Harry,27,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,0,0,1,1,0,2,4,2
6,Cassie Devashrayee,19,1,3,.333,1,1,1.000,0,2,.000,2,2,1.000,0,3,3,4,0,0,3,3,4
7,Micaelee Orton,13,0,0,,0,0,,0,0,,2,2,1.000,0,2,2,0,0,0,0,1,2
8,Kristine Nielson,11,3,4,.750,3,4,.750,0,0,,1,2,.500,0,1,1,0,0,0,2,1,7
9,Alohi Robins-Hardy,5,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0
10,Savannah Irwin,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,Amanda Wayment,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
12,School Totals,200,21,48,.438,20,37,.541,1,11,.091,10,14,.714,6,19,25,10,4,2,30,23,53
