,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Bonnie Samuelson,40,.892,.900,.800,1.200,0.0,12.8,8.6,0.0,0.0,2.2,11.6,12.0,160,92,
1,Amber Orrange,38,.432,.333,.000,.333,0.0,8.1,5.4,13.8,1.5,0.0,30.4,14.4,76,93,
2,Lili Thompson,30,.659,.591,.273,.364,0.0,13.7,9.2,31.4,0.0,0.0,13.6,27.3,125,93,
3,Erica McCall,17,.625,.625,.000,.000,0.0,18.1,12.2,0.0,0.0,15.7,0.0,26.1,121,82,
4,Brittany McPhee,10,.169,.000,.500,1.000,21.1,10.3,13.8,32.0,11.2,8.9,41.0,27.1,56,64,
6,Taylor Greenfield,32,.550,.538,.154,.692,0.0,12.8,8.6,7.7,0.0,0.0,5.6,31.2,110,94,
7,Kaylee Johnson,23,1.026,1.000,.000,2.000,18.3,35.7,30.0,0.0,4.9,3.9,51.5,9.4,118,69,
8,Briana Roberson,9,.500,.500,.000,.000,0.0,0.0,0.0,21.6,0.0,0.0,33.3,18.5,79,100,
9,Erica Payne,1,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.6,0,100,
10,Taylor Rooks,0,,,,,,,,,,,,,,,
11,Tess Picknell,0,,,,,,,,,,,,,,,
12,School Totals,200,.600,.551,.224,.510,15.8,71.8,53.4,44.0,7.0,13.3,16.5,100.0,102.8,84.5,
